dept_name,relative_url,full_url,likelihood_force_by_pop,likelihood_force_by_arrests,no_data_found,name,full_url_r,LA_numbers,NYC_numbers,Chicago_numbers
"Cinnaminson, Burlington",/database/pd-dept/cinnaminson-burlington,http://force.nj.com/database/pd-dept/cinnaminson-burlington,568%,45%,,"Cinnaminson, Burlington",http://force.nj.com/database/pd-dept/cinnaminson-burlington,1,15,15
"Clark, Union",/database/pd-dept/clark-union,http://force.nj.com/database/pd-dept/clark-union,2046%,23%,,"Clark, Union",http://force.nj.com/database/pd-dept/clark-union,1,20,21
"Clayton, Gloucester",/database/pd-dept/clayton-gloucester,http://force.nj.com/database/pd-dept/clayton-gloucester,176%,12%,,"Clayton, Gloucester",http://force.nj.com/database/pd-dept/clayton-gloucester,0,5,8
"Clementon, Camden",/database/pd-dept/clementon-camden,http://force.nj.com/database/pd-dept/clementon-camden,148%,106%,,"Clementon, Camden",http://force.nj.com/database/pd-dept/clementon-camden,0,3,4
"Cliffside Park, Bergen",/database/pd-dept/cliffside-park-bergen,http://force.nj.com/database/pd-dept/cliffside-park-bergen,50%,49%,,"Cliffside Park, Bergen",http://force.nj.com/database/pd-dept/cliffside-park-bergen,1,26,28
"Clifton, Passaic",/database/pd-dept/clifton-passaic,http://force.nj.com/database/pd-dept/clifton-passaic,118%,29%,,"Clifton, Passaic",http://force.nj.com/database/pd-dept/clifton-passaic,10,74,76
"Clinton Township, Hunterdon",/database/pd-dept/clinton-township-hunterdon,http://force.nj.com/database/pd-dept/clinton-township-hunterdon,52%,63%,,"Clinton Township, Hunterdon",http://force.nj.com/database/pd-dept/clinton-township-hunterdon,0,10,10
"Closter, Bergen",/database/pd-dept/closter-bergen,http://force.nj.com/database/pd-dept/closter-bergen,,12%,,"Closter, Bergen",http://force.nj.com/database/pd-dept/closter-bergen,0,4,4
"Collingswood, Camden",/database/pd-dept/collingswood-camden,http://force.nj.com/database/pd-dept/collingswood-camden,257%,16%,,"Collingswood, Camden",http://force.nj.com/database/pd-dept/collingswood-camden,0,9,9
"Colts Neck, Monmouth",/database/pd-dept/colts-neck-monmouth,http://force.nj.com/database/pd-dept/colts-neck-monmouth,,,,"Colts Neck, Monmouth",http://force.nj.com/database/pd-dept/colts-neck-monmouth,0,2,2
"Cranbury, Middlesex",/database/pd-dept/cranbury-middlesex,http://force.nj.com/database/pd-dept/cranbury-middlesex,,15%,,"Cranbury, Middlesex",http://force.nj.com/database/pd-dept/cranbury-middlesex,0,7,7
"Cranford, Union",/database/pd-dept/cranford-union,http://force.nj.com/database/pd-dept/cranford-union,1421%,14%,,"Cranford, Union",http://force.nj.com/database/pd-dept/cranford-union,0,20,21
"Cresskill, Bergen",/database/pd-dept/cresskill-bergen,http://force.nj.com/database/pd-dept/cresskill-bergen,2255%,123%,,"Cresskill, Bergen",http://force.nj.com/database/pd-dept/cresskill-bergen,0,7,7
"Deal, Interlaken & Loch Arbour Village, Monmouth",/database/pd-dept/deal-monmouth,http://force.nj.com/database/pd-dept/deal-monmouth,3199%,33%,,"Deal, Interlaken & Loch Arbour Village, Monmouth",http://force.nj.com/database/pd-dept/deal-monmouth,0,7,7
"Delanco, Burlington",/database/pd-dept/delanco-burlington,http://force.nj.com/database/pd-dept/delanco-burlington,312%,34%,,"Delanco, Burlington",http://force.nj.com/database/pd-dept/delanco-burlington,0,6,7
