name,relative_url,population,more_or_less_pop,arrests,more_or_less_arrests,los_angeles,new_york_city,chicago,average_full_time_officers,more_or_less,full_url
"Hillsdale, Bergen",/database/pd-dept/hillsdale-bergen,N/A,Not found,304%,more likely,0,6,6,18,,http://force.nj.com/database/pd-dept/hillsdale-bergen
"Hillside, Union",/database/pd-dept/hillside-union,75%,more likely,74%,more likely,3,29,29,64,,http://force.nj.com/database/pd-dept/hillside-union
"Ho-Ho-Kus, Bergen",/database/pd-dept/ho-ho-kus-bergen,N/A,Not found,10%,more likely,0,3,3,16,,http://force.nj.com/database/pd-dept/ho-ho-kus-bergen
"Hoboken, Hudson",/database/pd-dept/hoboken-hudson,1543%,more likely,23%,more likely,15,95,97,127,,http://force.nj.com/database/pd-dept/hoboken-hudson
"Holmdel, Monmouth",/database/pd-dept/holmdel-monmouth,349%,more likely,64%,less likely,0,11,11,38,,http://force.nj.com/database/pd-dept/holmdel-monmouth
"Hopatcong, Sussex",/database/pd-dept/hopatcong-sussex,375%,more likely,78%,more likely,3,18,18,24,,http://force.nj.com/database/pd-dept/hopatcong-sussex
"Hopewell Township &amp; Hopewell Borough, Mercer",/database/pd-dept/hopewell-township-mercer,69%,more likely,57%,less likely,0,16,16,30,,http://force.nj.com/database/pd-dept/hopewell-township-mercer
"Howell, Monmouth",/database/pd-dept/howell-monmouth,396%,more likely,9%,more likely,9,44,45,84,,http://force.nj.com/database/pd-dept/howell-monmouth
"Independence, Warren",/database/pd-dept/independence-warren,N/A,Not found,N/A,Not found,0,3,3,8,,http://force.nj.com/database/pd-dept/independence-warren
"Irvington, Essex",/database/pd-dept/irvington-essex,27%,less likely,46%,more likely,8,97,107,153,,http://force.nj.com/database/pd-dept/irvington-essex
"Island Heights, Ocean",/database/pd-dept/island-heights-ocean,N/A,Not found,N/A,Not found,0,1,1,5,,http://force.nj.com/database/pd-dept/island-heights-ocean
"Jackson, Ocean",/database/pd-dept/jackson-ocean,180%,more likely,13%,less likely,5,58,58,82,,http://force.nj.com/database/pd-dept/jackson-ocean
"Jamesburg, Middlesex",/database/pd-dept/jamesburg-middlesex,15%,less likely,43%,less likely,0,7,8,13,,http://force.nj.com/database/pd-dept/jamesburg-middlesex
"Jefferson, Morris",/database/pd-dept/jefferson-morris,270%,more likely,12%,less likely,0,19,21,36,,http://force.nj.com/database/pd-dept/jefferson-morris
"Jersey City, Hudson",/database/pd-dept/jersey-city-hudson,489%,more likely,192%,more likely,13,249,257,832,,http://force.nj.com/database/pd-dept/jersey-city-hudson
"Keansburg, Monmouth",/database/pd-dept/keansburg-monmouth,306%,more likely,90%,more likely,1,16,21,32,,http://force.nj.com/database/pd-dept/keansburg-monmouth
"Kearny, Hudson",/database/pd-dept/kearny-hudson,151%,more likely,7%,less likely,0,27,40,104,,http://force.nj.com/database/pd-dept/kearny-hudson
"Kenilworth, Union",/database/pd-dept/kenilworth-union,221%,more likely,22%,more likely,0,5,6,24,,http://force.nj.com/database/pd-dept/kenilworth-union
"Keyport, Monmouth",/database/pd-dept/keyport-monmouth,N/A,Not found,67%,less likely,0,5,5,16,,http://force.nj.com/database/pd-dept/keyport-monmouth
"Kinnelon, Morris",/database/pd-dept/kinnelon-morris,N/A,Not found,130%,more likely,0,4,4,16,,http://force.nj.com/database/pd-dept/kinnelon-morris
"Lacey, Ocean",/database/pd-dept/lacey-ocean,1439%,more likely,105%,more likely,5,26,27,42,,http://force.nj.com/database/pd-dept/lacey-ocean
"Lake Como, Monmouth",/database/pd-dept/lake-como-monmouth,340%,more likely,182%,more likely,3,8,9,5,,http://force.nj.com/database/pd-dept/lake-como-monmouth
"Lakehurst, Ocean",/database/pd-dept/lakehurst-ocean,575%,more likely,211%,more likely,0,7,8,10,,http://force.nj.com/database/pd-dept/lakehurst-ocean
"Lakewood, Ocean",/database/pd-dept/lakewood-ocean,2104%,more likely,138%,more likely,26,75,81,119,,http://force.nj.com/database/pd-dept/lakewood-ocean
"Lambertville, Hunterdon",/database/pd-dept/lambertville-hunterdon,N/A,Not found,N/A,Not found,0,4,4,10,,http://force.nj.com/database/pd-dept/lambertville-hunterdon
"Laurel Springs, Camden",/database/pd-dept/laurel-springs-camden,N/A,Not found,N/A,Not found,0,1,2,7,,http://force.nj.com/database/pd-dept/laurel-springs-camden
"Lavallette, Ocean",/database/pd-dept/lavallette-ocean,N/A,Not found,94%,more likely,0,5,5,12,,http://force.nj.com/database/pd-dept/lavallette-ocean
"Lawrence, Mercer",/database/pd-dept/lawrence-mercer,521%,more likely,38%,less likely,10,46,49,58,,http://force.nj.com/database/pd-dept/lawrence-mercer
"Lebanon Township, Hunterdon",/database/pd-dept/lebanon-hunterdon,N/A,Not found,N/A,Not found,0,1,1,8,,http://force.nj.com/database/pd-dept/lebanon-hunterdon
"Leonia, Bergen",/database/pd-dept/leonia-bergen,N/A,Not found,224%,more likely,0,5,5,17,,http://force.nj.com/database/pd-dept/leonia-bergen
"Lincoln Park, Morris",/database/pd-dept/lincoln-park-morris,N/A,Not found,N/A,Not found,0,8,8,23,,http://force.nj.com/database/pd-dept/lincoln-park-morris
"Linden, Union",/database/pd-dept/linden-union,64%,more likely,38%,more likely,6,42,46,126,,http://force.nj.com/database/pd-dept/linden-union
"Lindenwold, Camden",/database/pd-dept/lindenwold-camden,70%,more likely,37%,more likely,15,34,36,38,,http://force.nj.com/database/pd-dept/lindenwold-camden
"Linwood, Atlantic",/database/pd-dept/linwood-atlantic,882%,more likely,24%,less likely,0,6,6,16,,http://force.nj.com/database/pd-dept/linwood-atlantic
"Little Egg Harbor, Ocean",/database/pd-dept/little-egg-harbor-ocean,4500%,more likely,31%,more likely,5,32,32,41,,http://force.nj.com/database/pd-dept/little-egg-harbor-ocean
"Little Falls, Passaic",/database/pd-dept/little-falls-passaic,131%,more likely,2%,less likely,1,9,9,25,,http://force.nj.com/database/pd-dept/little-falls-passaic
"Little Ferry, Bergen",/database/pd-dept/little-ferry-bergen,357%,more likely,103%,more likely,0,10,10,25,,http://force.nj.com/database/pd-dept/little-ferry-bergen
"Little Silver, Monmouth",/database/pd-dept/little-silver-monmouth,N/A,Not found,19%,less likely,0,5,5,16,,http://force.nj.com/database/pd-dept/little-silver-monmouth
"Livingston, Essex",/database/pd-dept/livingston-essex,3424%,more likely,31%,less likely,2,21,22,68,,http://force.nj.com/database/pd-dept/livingston-essex
"Lodi, Bergen",/database/pd-dept/lodi-bergen,22%,less likely,42%,less likely,1,21,24,42,,http://force.nj.com/database/pd-dept/lodi-bergen
"Logan, Gloucester",/database/pd-dept/logan-gloucester,201%,more likely,Not found,,0,6,9,18,Not found,http://force.nj.com/database/pd-dept/logan-gloucester
"Long Beach  &amp; Barnegat Light, Ocean",/database/pd-dept/long-beach-ocean,N/A,Not found,N/A,Not found,0,12,12,37,,http://force.nj.com/database/pd-dept/long-beach-ocean
"Long Branch, Monmouth",/database/pd-dept/long-branch-monmouth,152%,more likely,9%,more likely,16,69,75,80,,http://force.nj.com/database/pd-dept/long-branch-monmouth
"Long Hill, Morris",/database/pd-dept/long-hill-morris,N/A,Not found,N/A,Not found,0,3,3,23,,http://force.nj.com/database/pd-dept/long-hill-morris
"Longport, Atlantic",/database/pd-dept/longport-atlantic,N/A,Not found,N/A,Not found,0,2,3,12,,http://force.nj.com/database/pd-dept/longport-atlantic
"Lopatcong, Warren",/database/pd-dept/lopatcong-warren,N/A,Not found,274%,more likely,0,6,7,14,,http://force.nj.com/database/pd-dept/lopatcong-warren
"Lower Alloways Creek &amp; Elsinboro, Salem",/database/pd-dept/lower-alloways-creek-salem,N/A,Not found,N/A,Not found,0,2,2,11,,http://force.nj.com/database/pd-dept/lower-alloways-creek-salem
"Lower Township, Cape May",/database/pd-dept/lower-township-cape-may,163%,more likely,47%,less likely,1,28,30,42,,http://force.nj.com/database/pd-dept/lower-township-cape-may
"Lumberton, Burlington",/database/pd-dept/lumberton-burlington,533%,more likely,123%,more likely,1,11,11,16,,http://force.nj.com/database/pd-dept/lumberton-burlington
"Lyndhurst, Bergen",/database/pd-dept/lyndhurst-bergen,857%,more likely,48%,more likely,1,19,20,49,,http://force.nj.com/database/pd-dept/lyndhurst-bergen
"Madison, Morris",/database/pd-dept/madison-morris,199%,more likely,9%,less likely,1,10,11,27,,http://force.nj.com/database/pd-dept/madison-morris
"Magnolia, Camden",/database/pd-dept/magnolia-camden,138%,more likely,4%,less likely,0,4,5,11,,http://force.nj.com/database/pd-dept/magnolia-camden
"Mahwah, Bergen",/database/pd-dept/mahwah-bergen,615%,more likely,91%,more likely,0,18,19,52,,http://force.nj.com/database/pd-dept/mahwah-bergen
"Manalapan, Monmouth",/database/pd-dept/manalapan-monmouth,627%,more likely,35%,less likely,0,9,10,53,,http://force.nj.com/database/pd-dept/manalapan-monmouth
"Manasquan, Monmouth",/database/pd-dept/manasquan-monmouth,556%,more likely,62%,more likely,3,21,21,16,,http://force.nj.com/database/pd-dept/manasquan-monmouth
"Manchester, Ocean",/database/pd-dept/manchester-ocean,153%,more likely,12%,less likely,5,47,48,66,,http://force.nj.com/database/pd-dept/manchester-ocean
"Mansfield, Burlington",/database/pd-dept/mansfield-burlington,N/A,Not found,N/A,Not found,0,2,2,12,,http://force.nj.com/database/pd-dept/mansfield-burlington
"Mansfield, Warren",/database/pd-dept/mansfield-warren,18%,more likely,41%,less likely,0,10,10,13,,http://force.nj.com/database/pd-dept/mansfield-warren
"Mantoloking, Ocean",/database/pd-dept/mantoloking-ocean,N/A,Not found,N/A,Not found,0,0,0,8,,http://force.nj.com/database/pd-dept/mantoloking-ocean
"Mantua, Gloucester",/database/pd-dept/mantua-gloucester,357%,more likely,22%,less likely,2,16,16,26,,http://force.nj.com/database/pd-dept/mantua-gloucester
"Manville, Somerset",/database/pd-dept/manville-somerset,916%,more likely,102%,more likely,0,14,14,22,,http://force.nj.com/database/pd-dept/manville-somerset
"Maple Shade, Burlington",/database/pd-dept/maple-shade-burlington,194%,more likely,4%,less likely,2,23,23,33,,http://force.nj.com/database/pd-dept/maple-shade-burlington
"Maplewood, Essex",/database/pd-dept/maplewood-essex,368%,more likely,7%,more likely,7,38,39,61,,http://force.nj.com/database/pd-dept/maplewood-essex
"Margate, Atlantic",/database/pd-dept/margate-atlantic,N/A,Not found,19%,more likely,0,10,10,28,,http://force.nj.com/database/pd-dept/margate-atlantic
"Marlboro, Monmouth",/database/pd-dept/marlboro-monmouth,451%,more likely,Not found,,1,16,17,70,Not found,http://force.nj.com/database/pd-dept/marlboro-monmouth
"Matawan, Monmouth",/database/pd-dept/matawan-monmouth,160%,more likely,6%,more likely,2,8,8,21,,http://force.nj.com/database/pd-dept/matawan-monmouth
"Maywood, Bergen",/database/pd-dept/maywood-bergen,449%,more likely,19%,less likely,0,10,10,22,,http://force.nj.com/database/pd-dept/maywood-bergen
"Medford Lakes, Burlington",/database/pd-dept/medford-lakes-burlington,N/A,Not found,N/A,Not found,0,0,0,8,,http://force.nj.com/database/pd-dept/medford-lakes-burlington
"Medford, Burlington",/database/pd-dept/medford-burlington,297%,more likely,16%,less likely,0,14,15,29,,http://force.nj.com/database/pd-dept/medford-burlington
"Mendham Borough, Morris",/database/pd-dept/mendham-borough-morris,N/A,Not found,13%,more likely,0,0,0,11,,http://force.nj.com/database/pd-dept/mendham-borough-morris
"Mendham Township, Morris",/database/pd-dept/mendham-township-morris,N/A,Not found,127%,more likely,0,2,2,14,,http://force.nj.com/database/pd-dept/mendham-township-morris
"Merchantville, Camden",/database/pd-dept/merchantville-camden,N/A,Not found,17%,more likely,0,4,4,13,,http://force.nj.com/database/pd-dept/merchantville-camden
"Metuchen, Middlesex",/database/pd-dept/metuchen-middlesex,275%,more likely,34%,less likely,0,10,10,28,,http://force.nj.com/database/pd-dept/metuchen-middlesex
"Middle, Cape May",/database/pd-dept/middle-cape-may,223%,more likely,99%,more likely,3,33,33,48,,http://force.nj.com/database/pd-dept/middle-cape-may
"Middlesex, Middlesex",/database/pd-dept/middlesex-middlesex,8%,more likely,46%,less likely,0,10,14,28,,http://force.nj.com/database/pd-dept/middlesex-middlesex
"Middletown, Monmouth",/database/pd-dept/middletown-monmouth,1021%,more likely,56%,more likely,3,55,56,108,,http://force.nj.com/database/pd-dept/middletown-monmouth
"Midland Park, Bergen",/database/pd-dept/midland-park-bergen,N/A,Not found,N/A,Not found,0,3,3,14,,http://force.nj.com/database/pd-dept/midland-park-bergen
"Millburn, Essex",/database/pd-dept/millburn-essex,N/A,Not found,76%,more likely,0,6,8,53,,http://force.nj.com/database/pd-dept/millburn-essex
"Milltown, Middlesex",/database/pd-dept/milltown-middlesex,N/A,Not found,35%,more likely,0,5,6,15,,http://force.nj.com/database/pd-dept/milltown-middlesex
"Millville, Cumberland",/database/pd-dept/millville-cumberland,581%,more likely,138%,more likely,21,50,53,72,,http://force.nj.com/database/pd-dept/millville-cumberland
"Monmouth Beach, Monmouth",/database/pd-dept/monmouth-beach-monmouth,N/A,Not found,57%,less likely,0,7,8,9,,http://force.nj.com/database/pd-dept/monmouth-beach-monmouth
"Monroe, Gloucester",/database/pd-dept/monroe-gloucester,91%,more likely,1%,more likely,6,26,28,64,,http://force.nj.com/database/pd-dept/monroe-gloucester
"Monroe, Middlesex",/database/pd-dept/monroe-middlesex,22%,less likely,63%,less likely,0,24,24,54,,http://force.nj.com/database/pd-dept/monroe-middlesex
"Montclair, Essex",/database/pd-dept/montclair-essex,490%,more likely,15%,more likely,0,33,34,103,,http://force.nj.com/database/pd-dept/montclair-essex
"Montgomery, Somerset",/database/pd-dept/montgomery-somerset,N/A,Not found,N/A,Not found,0,0,1,28,,http://force.nj.com/database/pd-dept/montgomery-somerset
"Montvale, Bergen",/database/pd-dept/montvale-bergen,741%,more likely,60%,less likely,0,4,4,22,,http://force.nj.com/database/pd-dept/montvale-bergen
"Montville, Morris",/database/pd-dept/montville-morris,59%,more likely,76%,less likely,0,12,13,36,,http://force.nj.com/database/pd-dept/montville-morris
"Moonachie &amp; Teterboro, Bergen",/database/pd-dept/moonachie-bergen,N/A,Not found,N/A,Not found,0,3,3,17,,http://force.nj.com/database/pd-dept/moonachie-bergen
"Moorestown, Burlington",/database/pd-dept/moorestown-burlington,842%,more likely,6%,more likely,0,10,11,32,,http://force.nj.com/database/pd-dept/moorestown-burlington
"Morris Plains, Morris",/database/pd-dept/morris-plains-morris,N/A,Not found,10%,less likely,0,4,5,16,,http://force.nj.com/database/pd-dept/morris-plains-morris
"Morris Township, Morris",/database/pd-dept/morris-township-morris,429%,more likely,25%,less likely,1,10,11,42,,http://force.nj.com/database/pd-dept/morris-township-morris
"Morristown, Morris",/database/pd-dept/morristown-morris,112%,more likely,3%,more likely,4,32,37,54,,http://force.nj.com/database/pd-dept/morristown-morris
"Mount Arlington, Morris",/database/pd-dept/mount-arlington-morris,N/A,Not found,N/A,Not found,0,2,2,14,,http://force.nj.com/database/pd-dept/mount-arlington-morris
"Mount Ephraim, Camden",/database/pd-dept/mount-ephraim-camden,101%,more likely,60%,less likely,0,10,11,12,,http://force.nj.com/database/pd-dept/mount-ephraim-camden
"Mount Holly, Burlington",/database/pd-dept/mount-holly-burlington,408%,more likely,100%,more likely,8,24,24,20,,http://force.nj.com/database/pd-dept/mount-holly-burlington
"Mount Laurel, Burlington",/database/pd-dept/mount-laurel-burlington,392%,more likely,3%,more likely,0,28,28,60,,http://force.nj.com/database/pd-dept/mount-laurel-burlington
"Mount Olive, Morris",/database/pd-dept/mount-olive-morris,31%,less likely,56%,less likely,0,20,21,47,,http://force.nj.com/database/pd-dept/mount-olive-morris
"Mountain Lakes, Morris",/database/pd-dept/mountain-lakes-morris,N/A,Not found,N/A,Not found,0,0,0,13,,http://force.nj.com/database/pd-dept/mountain-lakes-morris
"Mountainside, Union",/database/pd-dept/mountainside-union,N/A,Not found,17%,more likely,0,5,7,22,,http://force.nj.com/database/pd-dept/mountainside-union
"Mullica, Atlantic",/database/pd-dept/mullica-atlantic,N/A,Not found,11%,more likely,0,4,4,12,,http://force.nj.com/database/pd-dept/mullica-atlantic
"Neptune City, Monmouth",/database/pd-dept/neptune-city-monmouth,330%,more likely,28%,more likely,1,8,8,18,,http://force.nj.com/database/pd-dept/neptune-city-monmouth
"Neptune Township, Monmouth",/database/pd-dept/neptune-township-monmouth,295%,more likely,79%,more likely,14,52,53,73,,http://force.nj.com/database/pd-dept/neptune-township-monmouth
"Netcong, Morris",/database/pd-dept/netcong-morris,N/A,Not found,22%,less likely,0,8,8,9,,http://force.nj.com/database/pd-dept/netcong-morris
"New Brunswick, Middlesex",/database/pd-dept/new-brunswick-middlesex,268%,more likely,78%,more likely,18,73,90,142,,http://force.nj.com/database/pd-dept/new-brunswick-middlesex
"New Milford, Bergen",/database/pd-dept/new-milford-bergen,48%,less likely,64%,less likely,0,9,9,33,,http://force.nj.com/database/pd-dept/new-milford-bergen
"New Providence, Union",/database/pd-dept/new-providence-union,N/A,Not found,N/A,Not found,0,3,3,23,,http://force.nj.com/database/pd-dept/new-providence-union
"Newark, Essex",/database/pd-dept/newark-essex,133%,more likely,203%,more likely,49,374,432,"1,088",,http://force.nj.com/database/pd-dept/newark-essex
"Newfield, Gloucester",/database/pd-dept/newfield-gloucester,N/A,Not found,N/A,Not found,0,0,0,5,,http://force.nj.com/database/pd-dept/newfield-gloucester
"Newton, Sussex",/database/pd-dept/newton-sussex,221%,more likely,175%,more likely,2,15,15,22,,http://force.nj.com/database/pd-dept/newton-sussex
"North Arlington, Bergen",/database/pd-dept/north-arlington-bergen,126%,more likely,69%,less likely,0,12,15,27,,http://force.nj.com/database/pd-dept/north-arlington-bergen
"North Bergen, Hudson",/database/pd-dept/north-bergen-hudson,3%,more likely,92%,more likely,0,56,57,118,,http://force.nj.com/database/pd-dept/north-bergen-hudson
"North Brunswick, Middlesex",/database/pd-dept/north-brunswick-middlesex,206%,more likely,33%,more likely,0,23,28,78,,http://force.nj.com/database/pd-dept/north-brunswick-middlesex
"North Caldwell, Essex",/database/pd-dept/north-caldwell-essex,N/A,Not found,N/A,Not found,0,0,0,15,,http://force.nj.com/database/pd-dept/north-caldwell-essex
"North Haledon, Passaic",/database/pd-dept/north-haledon-passaic,N/A,Not found,114%,more likely,0,10,10,18,,http://force.nj.com/database/pd-dept/north-haledon-passaic
"North Hanover, Burlington",/database/pd-dept/north-hanover-burlington,0%,less likely,4%,less likely,0,1,2,10,,http://force.nj.com/database/pd-dept/north-hanover-burlington
"North Plainfield, Somerset",/database/pd-dept/north-plainfield-somerset,8%,more likely,18%,less likely,6,28,29,45,,http://force.nj.com/database/pd-dept/north-plainfield-somerset
"North Wildwood, Cape May",/database/pd-dept/north-wildwood-cape-may,179%,more likely,18%,less likely,3,42,42,26,,http://force.nj.com/database/pd-dept/north-wildwood-cape-may
"Northfield City, Atlantic",/database/pd-dept/northfield-atlantic,N/A,Not found,95%,more likely,0,3,4,21,,http://force.nj.com/database/pd-dept/northfield-atlantic
"Northvale &amp; Rockleigh Borough, Bergen",/database/pd-dept/northvale-bergen,N/A,Not found,N/A,Not found,0,1,1,13,,http://force.nj.com/database/pd-dept/northvale-bergen
"Norwood, Bergen",/database/pd-dept/norwood-bergen,N/A,Not found,N/A,Not found,0,0,0,14,,http://force.nj.com/database/pd-dept/norwood-bergen
"Nutley, Essex",/database/pd-dept/nutley-essex,603%,more likely,58%,more likely,2,34,36,68,,http://force.nj.com/database/pd-dept/nutley-essex
"Oakland, Bergen",/database/pd-dept/oakland-bergen,N/A,Not found,N/A,Not found,0,6,7,24,,http://force.nj.com/database/pd-dept/oakland-bergen
"Oaklyn, Camden",/database/pd-dept/oaklyn-camden,N/A,Not found,41%,more likely,0,6,6,14,,http://force.nj.com/database/pd-dept/oaklyn-camden
"Ocean City, Cape May",/database/pd-dept/ocean-city-cape-may,1289%,more likely,13%,more likely,0,28,28,59,,http://force.nj.com/database/pd-dept/ocean-city-cape-may
"Ocean Gate, Ocean",/database/pd-dept/ocean-gate-ocean,N/A,Not found,N/A,Not found,0,4,4,8,,http://force.nj.com/database/pd-dept/ocean-gate-ocean
"Oceanport, Monmouth",/database/pd-dept/oceanport-monmouth,1311%,more likely,20%,less likely,0,12,12,14,,http://force.nj.com/database/pd-dept/oceanport-monmouth
"Ocean Township, Monmouth",/database/pd-dept/ocean-township-monmouth,423%,more likely,29%,more likely,1,22,23,60,,http://force.nj.com/database/pd-dept/ocean-township-monmouth
"Ocean Township, Ocean",/database/pd-dept/ocean-township-ocean,7519%,more likely,9%,less likely,1,5,8,20,,http://force.nj.com/database/pd-dept/ocean-township-ocean
"Ogdensburg, Sussex",/database/pd-dept/ogdensburg-sussex,N/A,Not found,N/A,Not found,0,3,3,6,,http://force.nj.com/database/pd-dept/ogdensburg-sussex
"Old Bridge, Middlesex",/database/pd-dept/old-bridge-middlesex,201%,more likely,24%,more likely,0,13,15,87,,http://force.nj.com/database/pd-dept/old-bridge-middlesex
"Old Tappan, Bergen",/database/pd-dept/old-tappan-bergen,N/A,Not found,N/A,Not found,0,2,2,12,,http://force.nj.com/database/pd-dept/old-tappan-bergen
"Oradell, Bergen",/database/pd-dept/oradell-bergen,N/A,Not found,N/A,Not found,0,1,2,20,,http://force.nj.com/database/pd-dept/oradell-bergen
"Orange, Essex",/database/pd-dept/orange-essex,76%,less likely,38%,more likely,5,32,37,103,,http://force.nj.com/database/pd-dept/orange-essex
"Palisades Park, Bergen",/database/pd-dept/palisades-park-bergen,N/A,Not found,18%,more likely,0,10,11,32,,http://force.nj.com/database/pd-dept/palisades-park-bergen
"Palmyra, Burlington",/database/pd-dept/palmyra-burlington,210%,more likely,4%,less likely,0,7,7,17,,http://force.nj.com/database/pd-dept/palmyra-burlington
"Paramus, Bergen",/database/pd-dept/paramus-bergen,1530%,more likely,58%,more likely,6,29,38,82,,http://force.nj.com/database/pd-dept/paramus-bergen
"Park Ridge, Bergen",/database/pd-dept/park-ridge-bergen,26%,less likely,47%,less likely,0,5,5,18,,http://force.nj.com/database/pd-dept/park-ridge-bergen
"Parsippany-Troy, Morris",/database/pd-dept/parsippany-troy-morris,93%,more likely,9%,more likely,2,26,26,96,,http://force.nj.com/database/pd-dept/parsippany-troy-morris
"Passaic, Passaic",/database/pd-dept/passaic-passaic,67%,more likely,158%,more likely,13,84,88,150,,http://force.nj.com/database/pd-dept/passaic-passaic
"Paterson, Passaic",/database/pd-dept/paterson-passaic,78%,more likely,459%,more likely,35,233,252,377,,http://force.nj.com/database/pd-dept/paterson-passaic
"Paulsboro, Gloucester",/database/pd-dept/paulsboro-gloucester,210%,more likely,41%,more likely,3,22,24,17,,http://force.nj.com/database/pd-dept/paulsboro-gloucester
"Peapack-Gladstone, Somerset",/database/pd-dept/peapack-gladstone-somerset,N/A,Not found,N/A,Not found,0,1,1,8,,http://force.nj.com/database/pd-dept/peapack-gladstone-somerset
"Pemberton Borough, Burlington",/database/pd-dept/pemberton-borough-burlington,181%,more likely,26%,more likely,0,5,5,5,,http://force.nj.com/database/pd-dept/pemberton-borough-burlington
"Pemberton Township, Burlington",/database/pd-dept/pemberton-township-burlington,147%,more likely,8%,more likely,2,32,32,48,,http://force.nj.com/database/pd-dept/pemberton-township-burlington
"Pennington, Mercer",/database/pd-dept/pennington-mercer,N/A,Not found,N/A,Not found,0,0,0,4,,http://force.nj.com/database/pd-dept/pennington-mercer
"Penns Grove, Salem",/database/pd-dept/penns-grove-salem,173%,more likely,59%,more likely,3,7,8,14,,http://force.nj.com/database/pd-dept/penns-grove-salem
"Pennsauken, Camden",/database/pd-dept/pennsauken-camden,106%,more likely,71%,more likely,6,49,54,80,,http://force.nj.com/database/pd-dept/pennsauken-camden
"Pennsville, Salem",/database/pd-dept/pennsville-salem,1845%,more likely,19%,more likely,4,14,14,22,,http://force.nj.com/database/pd-dept/pennsville-salem
"Pequannock, Morris",/database/pd-dept/pequannock-morris,1673%,more likely,36%,more likely,0,7,7,31,,http://force.nj.com/database/pd-dept/pequannock-morris
"Perth Amboy, Middlesex",/database/pd-dept/perth-amboy-middlesex,65%,less likely,Not found,,30,75,78,115,Not found,http://force.nj.com/database/pd-dept/perth-amboy-middlesex
"Phillipsburg &amp; Alpha, Warren",/database/pd-dept/phillipsburg-warren,232%,more likely,40%,more likely,4,13,15,36,,http://force.nj.com/database/pd-dept/phillipsburg-warren
"Pine Beach, Ocean",/database/pd-dept/pine-beach-ocean,N/A,Not found,N/A,Not found,0,5,5,6,,http://force.nj.com/database/pd-dept/pine-beach-ocean
"Pine Hill, Camden",/database/pd-dept/pine-hill-camden,127%,more likely,25%,more likely,2,15,15,20,,http://force.nj.com/database/pd-dept/pine-hill-camden
"Piscataway, Middlesex",/database/pd-dept/piscataway-middlesex,22%,more likely,37%,less likely,0,13,16,84,,http://force.nj.com/database/pd-dept/piscataway-middlesex
"Pitman, Gloucester",/database/pd-dept/pitman-gloucester,706%,more likely,56%,more likely,0,5,6,16,,http://force.nj.com/database/pd-dept/pitman-gloucester
"Plainfield, Union",/database/pd-dept/plainfield-union,38%,less likely,66%,more likely,4,45,47,136,,http://force.nj.com/database/pd-dept/plainfield-union
"Plainsboro, Middlesex",/database/pd-dept/plainsboro-middlesex,178%,more likely,12%,less likely,0,23,23,34,,http://force.nj.com/database/pd-dept/plainsboro-middlesex
"Pleasantville, Atlantic",/database/pd-dept/pleasantville-atlantic,44%,less likely,32%,more likely,9,36,39,49,,http://force.nj.com/database/pd-dept/pleasantville-atlantic
"Plumsted, Ocean",/database/pd-dept/plumsted-ocean,N/A,Not found,89%,more likely,0,1,1,13,,http://force.nj.com/database/pd-dept/plumsted-ocean
"Pohatcong, Warren",/database/pd-dept/pohatcong-warren,N/A,Not found,153%,more likely,0,5,6,12,,http://force.nj.com/database/pd-dept/pohatcong-warren
"Point Pleasant Beach, Ocean",/database/pd-dept/point-pleasant-beach-ocean,2331%,more likely,10%,more likely,1,40,40,22,,http://force.nj.com/database/pd-dept/point-pleasant-beach-ocean
"Point Pleasant, Ocean",/database/pd-dept/point-pleasant-ocean,N/A,Not found,N/A,Not found,1,15,16,32,,http://force.nj.com/database/pd-dept/point-pleasant-ocean
"Pompton Lakes, Passaic",/database/pd-dept/pompton-lakes-passaic,29976%,more likely,385%,more likely,5,15,16,20,,http://force.nj.com/database/pd-dept/pompton-lakes-passaic
"Princeton &amp; Princeton Borough (2012 only), Mercer",/database/pd-dept/princeton-mercer,493%,more likely,57%,more likely,0,17,17,52,,http://force.nj.com/database/pd-dept/princeton-mercer
"Prospect Park, Passaic",/database/pd-dept/prospect-park-passaic,1%,less likely,162%,more likely,0,5,6,16,,http://force.nj.com/database/pd-dept/prospect-park-passaic
"Rahway, Union",/database/pd-dept/rahway-union,23%,more likely,3%,less likely,2,21,25,74,,http://force.nj.com/database/pd-dept/rahway-union
"Ramsey, Bergen",/database/pd-dept/ramsey-bergen,5987%,more likely,55%,less likely,1,17,17,32,,http://force.nj.com/database/pd-dept/ramsey-bergen
"Randolph, Morris",/database/pd-dept/randolph-morris,249%,more likely,27%,less likely,1,19,19,34,,http://force.nj.com/database/pd-dept/randolph-morris
"Raritan, Hunterdon",/database/pd-dept/raritan-hunterdon,775%,more likely,36%,more likely,0,8,8,32,,http://force.nj.com/database/pd-dept/raritan-hunterdon
"Raritan, Somerset",/database/pd-dept/raritan-somerset,1568%,more likely,83%,more likely,0,11,11,18,,http://force.nj.com/database/pd-dept/raritan-somerset
"Readington, Hunterdon",/database/pd-dept/readington-hunterdon,4444%,more likely,117%,more likely,0,5,5,22,,http://force.nj.com/database/pd-dept/readington-hunterdon
"Red Bank, Monmouth",/database/pd-dept/red-bank-monmouth,174%,more likely,79%,more likely,10,21,25,40,,http://force.nj.com/database/pd-dept/red-bank-monmouth
