name,relative_url,population,arrests,Los Angeles,New York City,Chicago,full_url
"Lawrence, Mercer",/database/pd-dept/lawrence-mercer,521%,38%,10,46,49,http://force.nj.com/database/pd-dept/lawrence-mercer
"Lebanon Township, Hunterdon",/database/pd-dept/lebanon-hunterdon,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/lebanon-hunterdon
"Leonia, Bergen",/database/pd-dept/leonia-bergen,N/A,224%,0,5,5,http://force.nj.com/database/pd-dept/leonia-bergen
"Lincoln Park, Morris",/database/pd-dept/lincoln-park-morris,N/A,N/A,0,8,8,http://force.nj.com/database/pd-dept/lincoln-park-morris
"Linden, Union",/database/pd-dept/linden-union,64%,38%,6,42,46,http://force.nj.com/database/pd-dept/linden-union
"Lindenwold, Camden",/database/pd-dept/lindenwold-camden,70%,37%,15,34,36,http://force.nj.com/database/pd-dept/lindenwold-camden
"Linwood, Atlantic",/database/pd-dept/linwood-atlantic,882%,24%,0,6,6,http://force.nj.com/database/pd-dept/linwood-atlantic
"Little Egg Harbor, Ocean",/database/pd-dept/little-egg-harbor-ocean,4500%,31%,5,32,32,http://force.nj.com/database/pd-dept/little-egg-harbor-ocean
"Little Falls, Passaic",/database/pd-dept/little-falls-passaic,131%,2%,1,9,9,http://force.nj.com/database/pd-dept/little-falls-passaic
"Little Ferry, Bergen",/database/pd-dept/little-ferry-bergen,357%,103%,0,10,10,http://force.nj.com/database/pd-dept/little-ferry-bergen
"Little Silver, Monmouth",/database/pd-dept/little-silver-monmouth,N/A,19%,0,5,5,http://force.nj.com/database/pd-dept/little-silver-monmouth
"Livingston, Essex",/database/pd-dept/livingston-essex,3424%,31%,2,21,22,http://force.nj.com/database/pd-dept/livingston-essex
"Lodi, Bergen",/database/pd-dept/lodi-bergen,22%,42%,1,21,24,http://force.nj.com/database/pd-dept/lodi-bergen
"Logan, Gloucester",/database/pd-dept/logan-gloucester,201%,Not found,0,6,9,http://force.nj.com/database/pd-dept/logan-gloucester
"Long Beach  &amp; Barnegat Light, Ocean",/database/pd-dept/long-beach-ocean,N/A,N/A,0,12,12,http://force.nj.com/database/pd-dept/long-beach-ocean
"Long Branch, Monmouth",/database/pd-dept/long-branch-monmouth,152%,9%,16,69,75,http://force.nj.com/database/pd-dept/long-branch-monmouth
"Long Hill, Morris",/database/pd-dept/long-hill-morris,N/A,N/A,0,3,3,http://force.nj.com/database/pd-dept/long-hill-morris
"Longport, Atlantic",/database/pd-dept/longport-atlantic,N/A,N/A,0,2,3,http://force.nj.com/database/pd-dept/longport-atlantic
"Lopatcong, Warren",/database/pd-dept/lopatcong-warren,N/A,274%,0,6,7,http://force.nj.com/database/pd-dept/lopatcong-warren
"Lower Alloways Creek &amp; Elsinboro, Salem",/database/pd-dept/lower-alloways-creek-salem,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/lower-alloways-creek-salem
"Lower Township, Cape May",/database/pd-dept/lower-township-cape-may,163%,47%,1,28,30,http://force.nj.com/database/pd-dept/lower-township-cape-may
"Lumberton, Burlington",/database/pd-dept/lumberton-burlington,533%,123%,1,11,11,http://force.nj.com/database/pd-dept/lumberton-burlington
"Lyndhurst, Bergen",/database/pd-dept/lyndhurst-bergen,857%,48%,1,19,20,http://force.nj.com/database/pd-dept/lyndhurst-bergen
"Madison, Morris",/database/pd-dept/madison-morris,199%,9%,1,10,11,http://force.nj.com/database/pd-dept/madison-morris
"Magnolia, Camden",/database/pd-dept/magnolia-camden,138%,4%,0,4,5,http://force.nj.com/database/pd-dept/magnolia-camden
"Mahwah, Bergen",/database/pd-dept/mahwah-bergen,615%,91%,0,18,19,http://force.nj.com/database/pd-dept/mahwah-bergen
"Manalapan, Monmouth",/database/pd-dept/manalapan-monmouth,627%,35%,0,9,10,http://force.nj.com/database/pd-dept/manalapan-monmouth
"Manasquan, Monmouth",/database/pd-dept/manasquan-monmouth,556%,62%,3,21,21,http://force.nj.com/database/pd-dept/manasquan-monmouth
"Manchester, Ocean",/database/pd-dept/manchester-ocean,153%,12%,5,47,48,http://force.nj.com/database/pd-dept/manchester-ocean
"Mansfield, Burlington",/database/pd-dept/mansfield-burlington,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/mansfield-burlington
"Mansfield, Warren",/database/pd-dept/mansfield-warren,18%,41%,0,10,10,http://force.nj.com/database/pd-dept/mansfield-warren
"Mantoloking, Ocean",/database/pd-dept/mantoloking-ocean,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/mantoloking-ocean
"Mantua, Gloucester",/database/pd-dept/mantua-gloucester,357%,22%,2,16,16,http://force.nj.com/database/pd-dept/mantua-gloucester
"Manville, Somerset",/database/pd-dept/manville-somerset,916%,102%,0,14,14,http://force.nj.com/database/pd-dept/manville-somerset
"Maple Shade, Burlington",/database/pd-dept/maple-shade-burlington,194%,4%,2,23,23,http://force.nj.com/database/pd-dept/maple-shade-burlington
"Maplewood, Essex",/database/pd-dept/maplewood-essex,368%,7%,7,38,39,http://force.nj.com/database/pd-dept/maplewood-essex
"Margate, Atlantic",/database/pd-dept/margate-atlantic,N/A,19%,0,10,10,http://force.nj.com/database/pd-dept/margate-atlantic
"Marlboro, Monmouth",/database/pd-dept/marlboro-monmouth,451%,Not found,1,16,17,http://force.nj.com/database/pd-dept/marlboro-monmouth
"Matawan, Monmouth",/database/pd-dept/matawan-monmouth,160%,6%,2,8,8,http://force.nj.com/database/pd-dept/matawan-monmouth
"Maywood, Bergen",/database/pd-dept/maywood-bergen,449%,19%,0,10,10,http://force.nj.com/database/pd-dept/maywood-bergen
"Medford Lakes, Burlington",/database/pd-dept/medford-lakes-burlington,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/medford-lakes-burlington
"Medford, Burlington",/database/pd-dept/medford-burlington,297%,16%,0,14,15,http://force.nj.com/database/pd-dept/medford-burlington
"Mendham Borough, Morris",/database/pd-dept/mendham-borough-morris,N/A,13%,0,0,0,http://force.nj.com/database/pd-dept/mendham-borough-morris
"Mendham Township, Morris",/database/pd-dept/mendham-township-morris,N/A,127%,0,2,2,http://force.nj.com/database/pd-dept/mendham-township-morris
"Merchantville, Camden",/database/pd-dept/merchantville-camden,N/A,17%,0,4,4,http://force.nj.com/database/pd-dept/merchantville-camden
"Metuchen, Middlesex",/database/pd-dept/metuchen-middlesex,275%,34%,0,10,10,http://force.nj.com/database/pd-dept/metuchen-middlesex
"Middle, Cape May",/database/pd-dept/middle-cape-may,223%,99%,3,33,33,http://force.nj.com/database/pd-dept/middle-cape-may
"Middlesex, Middlesex",/database/pd-dept/middlesex-middlesex,8%,46%,0,10,14,http://force.nj.com/database/pd-dept/middlesex-middlesex
"Middletown, Monmouth",/database/pd-dept/middletown-monmouth,1021%,56%,3,55,56,http://force.nj.com/database/pd-dept/middletown-monmouth
"Midland Park, Bergen",/database/pd-dept/midland-park-bergen,N/A,N/A,0,3,3,http://force.nj.com/database/pd-dept/midland-park-bergen
"Millburn, Essex",/database/pd-dept/millburn-essex,N/A,76%,0,6,8,http://force.nj.com/database/pd-dept/millburn-essex
"Milltown, Middlesex",/database/pd-dept/milltown-middlesex,N/A,35%,0,5,6,http://force.nj.com/database/pd-dept/milltown-middlesex
"Millville, Cumberland",/database/pd-dept/millville-cumberland,581%,138%,21,50,53,http://force.nj.com/database/pd-dept/millville-cumberland
"Monmouth Beach, Monmouth",/database/pd-dept/monmouth-beach-monmouth,N/A,57%,0,7,8,http://force.nj.com/database/pd-dept/monmouth-beach-monmouth
"Monroe, Gloucester",/database/pd-dept/monroe-gloucester,91%,1%,6,26,28,http://force.nj.com/database/pd-dept/monroe-gloucester
"Monroe, Middlesex",/database/pd-dept/monroe-middlesex,22%,63%,0,24,24,http://force.nj.com/database/pd-dept/monroe-middlesex
"Montclair, Essex",/database/pd-dept/montclair-essex,490%,15%,0,33,34,http://force.nj.com/database/pd-dept/montclair-essex
"Montgomery, Somerset",/database/pd-dept/montgomery-somerset,N/A,N/A,0,0,1,http://force.nj.com/database/pd-dept/montgomery-somerset
"Montvale, Bergen",/database/pd-dept/montvale-bergen,741%,60%,0,4,4,http://force.nj.com/database/pd-dept/montvale-bergen
"Montville, Morris",/database/pd-dept/montville-morris,59%,76%,0,12,13,http://force.nj.com/database/pd-dept/montville-morris
"Moonachie &amp; Teterboro, Bergen",/database/pd-dept/moonachie-bergen,N/A,N/A,0,3,3,http://force.nj.com/database/pd-dept/moonachie-bergen
"Moorestown, Burlington",/database/pd-dept/moorestown-burlington,842%,6%,0,10,11,http://force.nj.com/database/pd-dept/moorestown-burlington
"Morris Plains, Morris",/database/pd-dept/morris-plains-morris,N/A,10%,0,4,5,http://force.nj.com/database/pd-dept/morris-plains-morris
"Morris Township, Morris",/database/pd-dept/morris-township-morris,429%,25%,1,10,11,http://force.nj.com/database/pd-dept/morris-township-morris
"Morristown, Morris",/database/pd-dept/morristown-morris,112%,3%,4,32,37,http://force.nj.com/database/pd-dept/morristown-morris
"Mount Arlington, Morris",/database/pd-dept/mount-arlington-morris,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/mount-arlington-morris
"Mount Ephraim, Camden",/database/pd-dept/mount-ephraim-camden,101%,60%,0,10,11,http://force.nj.com/database/pd-dept/mount-ephraim-camden
"Mount Holly, Burlington",/database/pd-dept/mount-holly-burlington,408%,100%,8,24,24,http://force.nj.com/database/pd-dept/mount-holly-burlington
"Mount Laurel, Burlington",/database/pd-dept/mount-laurel-burlington,392%,3%,0,28,28,http://force.nj.com/database/pd-dept/mount-laurel-burlington
"Mount Olive, Morris",/database/pd-dept/mount-olive-morris,31%,56%,0,20,21,http://force.nj.com/database/pd-dept/mount-olive-morris
"Mountain Lakes, Morris",/database/pd-dept/mountain-lakes-morris,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/mountain-lakes-morris
"Mountainside, Union",/database/pd-dept/mountainside-union,N/A,17%,0,5,7,http://force.nj.com/database/pd-dept/mountainside-union
"Mullica, Atlantic",/database/pd-dept/mullica-atlantic,N/A,11%,0,4,4,http://force.nj.com/database/pd-dept/mullica-atlantic
"Neptune City, Monmouth",/database/pd-dept/neptune-city-monmouth,330%,28%,1,8,8,http://force.nj.com/database/pd-dept/neptune-city-monmouth
"Neptune Township, Monmouth",/database/pd-dept/neptune-township-monmouth,295%,79%,14,52,53,http://force.nj.com/database/pd-dept/neptune-township-monmouth
"Netcong, Morris",/database/pd-dept/netcong-morris,N/A,22%,0,8,8,http://force.nj.com/database/pd-dept/netcong-morris
"New Brunswick, Middlesex",/database/pd-dept/new-brunswick-middlesex,268%,78%,18,73,90,http://force.nj.com/database/pd-dept/new-brunswick-middlesex
"New Milford, Bergen",/database/pd-dept/new-milford-bergen,48%,64%,0,9,9,http://force.nj.com/database/pd-dept/new-milford-bergen
"New Providence, Union",/database/pd-dept/new-providence-union,N/A,N/A,0,3,3,http://force.nj.com/database/pd-dept/new-providence-union
"Newark, Essex",/database/pd-dept/newark-essex,133%,203%,49,374,432,http://force.nj.com/database/pd-dept/newark-essex
"Newfield, Gloucester",/database/pd-dept/newfield-gloucester,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/newfield-gloucester
"Newton, Sussex",/database/pd-dept/newton-sussex,221%,175%,2,15,15,http://force.nj.com/database/pd-dept/newton-sussex
"North Arlington, Bergen",/database/pd-dept/north-arlington-bergen,126%,69%,0,12,15,http://force.nj.com/database/pd-dept/north-arlington-bergen
"North Bergen, Hudson",/database/pd-dept/north-bergen-hudson,3%,92%,0,56,57,http://force.nj.com/database/pd-dept/north-bergen-hudson
"North Brunswick, Middlesex",/database/pd-dept/north-brunswick-middlesex,206%,33%,0,23,28,http://force.nj.com/database/pd-dept/north-brunswick-middlesex
"North Caldwell, Essex",/database/pd-dept/north-caldwell-essex,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/north-caldwell-essex
"North Haledon, Passaic",/database/pd-dept/north-haledon-passaic,N/A,114%,0,10,10,http://force.nj.com/database/pd-dept/north-haledon-passaic
"North Hanover, Burlington",/database/pd-dept/north-hanover-burlington,0%,4%,0,1,2,http://force.nj.com/database/pd-dept/north-hanover-burlington
"North Plainfield, Somerset",/database/pd-dept/north-plainfield-somerset,8%,18%,6,28,29,http://force.nj.com/database/pd-dept/north-plainfield-somerset
"North Wildwood, Cape May",/database/pd-dept/north-wildwood-cape-may,179%,18%,3,42,42,http://force.nj.com/database/pd-dept/north-wildwood-cape-may
"Northfield City, Atlantic",/database/pd-dept/northfield-atlantic,N/A,95%,0,3,4,http://force.nj.com/database/pd-dept/northfield-atlantic
"Northvale &amp; Rockleigh Borough, Bergen",/database/pd-dept/northvale-bergen,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/northvale-bergen
"Norwood, Bergen",/database/pd-dept/norwood-bergen,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/norwood-bergen
"Nutley, Essex",/database/pd-dept/nutley-essex,603%,58%,2,34,36,http://force.nj.com/database/pd-dept/nutley-essex
"Oakland, Bergen",/database/pd-dept/oakland-bergen,N/A,N/A,0,6,7,http://force.nj.com/database/pd-dept/oakland-bergen
"Oaklyn, Camden",/database/pd-dept/oaklyn-camden,N/A,41%,0,6,6,http://force.nj.com/database/pd-dept/oaklyn-camden
"Ocean City, Cape May",/database/pd-dept/ocean-city-cape-may,1289%,13%,0,28,28,http://force.nj.com/database/pd-dept/ocean-city-cape-may
"Ocean Gate, Ocean",/database/pd-dept/ocean-gate-ocean,N/A,N/A,0,4,4,http://force.nj.com/database/pd-dept/ocean-gate-ocean
"Oceanport, Monmouth",/database/pd-dept/oceanport-monmouth,1311%,20%,0,12,12,http://force.nj.com/database/pd-dept/oceanport-monmouth
"Ocean Township, Monmouth",/database/pd-dept/ocean-township-monmouth,423%,29%,1,22,23,http://force.nj.com/database/pd-dept/ocean-township-monmouth
"Ocean Township, Ocean",/database/pd-dept/ocean-township-ocean,7519%,9%,1,5,8,http://force.nj.com/database/pd-dept/ocean-township-ocean
"Ogdensburg, Sussex",/database/pd-dept/ogdensburg-sussex,N/A,N/A,0,3,3,http://force.nj.com/database/pd-dept/ogdensburg-sussex
"Old Bridge, Middlesex",/database/pd-dept/old-bridge-middlesex,201%,24%,0,13,15,http://force.nj.com/database/pd-dept/old-bridge-middlesex
"Old Tappan, Bergen",/database/pd-dept/old-tappan-bergen,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/old-tappan-bergen
"Oradell, Bergen",/database/pd-dept/oradell-bergen,N/A,N/A,0,1,2,http://force.nj.com/database/pd-dept/oradell-bergen
"Orange, Essex",/database/pd-dept/orange-essex,76%,38%,5,32,37,http://force.nj.com/database/pd-dept/orange-essex
"Palisades Park, Bergen",/database/pd-dept/palisades-park-bergen,N/A,18%,0,10,11,http://force.nj.com/database/pd-dept/palisades-park-bergen
"Palmyra, Burlington",/database/pd-dept/palmyra-burlington,210%,4%,0,7,7,http://force.nj.com/database/pd-dept/palmyra-burlington
"Paramus, Bergen",/database/pd-dept/paramus-bergen,1530%,58%,6,29,38,http://force.nj.com/database/pd-dept/paramus-bergen
"Park Ridge, Bergen",/database/pd-dept/park-ridge-bergen,26%,47%,0,5,5,http://force.nj.com/database/pd-dept/park-ridge-bergen
"Parsippany-Troy, Morris",/database/pd-dept/parsippany-troy-morris,93%,9%,2,26,26,http://force.nj.com/database/pd-dept/parsippany-troy-morris
"Passaic, Passaic",/database/pd-dept/passaic-passaic,67%,158%,13,84,88,http://force.nj.com/database/pd-dept/passaic-passaic
"Paterson, Passaic",/database/pd-dept/paterson-passaic,78%,459%,35,233,252,http://force.nj.com/database/pd-dept/paterson-passaic
"Paulsboro, Gloucester",/database/pd-dept/paulsboro-gloucester,210%,41%,3,22,24,http://force.nj.com/database/pd-dept/paulsboro-gloucester
"Peapack-Gladstone, Somerset",/database/pd-dept/peapack-gladstone-somerset,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/peapack-gladstone-somerset
"Pemberton Borough, Burlington",/database/pd-dept/pemberton-borough-burlington,181%,26%,0,5,5,http://force.nj.com/database/pd-dept/pemberton-borough-burlington
"Pemberton Township, Burlington",/database/pd-dept/pemberton-township-burlington,147%,8%,2,32,32,http://force.nj.com/database/pd-dept/pemberton-township-burlington
"Pennington, Mercer",/database/pd-dept/pennington-mercer,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/pennington-mercer
"Penns Grove, Salem",/database/pd-dept/penns-grove-salem,173%,59%,3,7,8,http://force.nj.com/database/pd-dept/penns-grove-salem
"Pennsauken, Camden",/database/pd-dept/pennsauken-camden,106%,71%,6,49,54,http://force.nj.com/database/pd-dept/pennsauken-camden
"Pennsville, Salem",/database/pd-dept/pennsville-salem,1845%,19%,4,14,14,http://force.nj.com/database/pd-dept/pennsville-salem
"Pequannock, Morris",/database/pd-dept/pequannock-morris,1673%,36%,0,7,7,http://force.nj.com/database/pd-dept/pequannock-morris
"Perth Amboy, Middlesex",/database/pd-dept/perth-amboy-middlesex,65%,Not found,30,75,78,http://force.nj.com/database/pd-dept/perth-amboy-middlesex
"Phillipsburg &amp; Alpha, Warren",/database/pd-dept/phillipsburg-warren,232%,40%,4,13,15,http://force.nj.com/database/pd-dept/phillipsburg-warren
"Pine Beach, Ocean",/database/pd-dept/pine-beach-ocean,N/A,N/A,0,5,5,http://force.nj.com/database/pd-dept/pine-beach-ocean
"Pine Hill, Camden",/database/pd-dept/pine-hill-camden,127%,25%,2,15,15,http://force.nj.com/database/pd-dept/pine-hill-camden
"Piscataway, Middlesex",/database/pd-dept/piscataway-middlesex,22%,37%,0,13,16,http://force.nj.com/database/pd-dept/piscataway-middlesex
"Pitman, Gloucester",/database/pd-dept/pitman-gloucester,706%,56%,0,5,6,http://force.nj.com/database/pd-dept/pitman-gloucester
"Plainfield, Union",/database/pd-dept/plainfield-union,38%,66%,4,45,47,http://force.nj.com/database/pd-dept/plainfield-union
"Plainsboro, Middlesex",/database/pd-dept/plainsboro-middlesex,178%,12%,0,23,23,http://force.nj.com/database/pd-dept/plainsboro-middlesex
"Pleasantville, Atlantic",/database/pd-dept/pleasantville-atlantic,44%,32%,9,36,39,http://force.nj.com/database/pd-dept/pleasantville-atlantic
"Plumsted, Ocean",/database/pd-dept/plumsted-ocean,N/A,89%,0,1,1,http://force.nj.com/database/pd-dept/plumsted-ocean
"Pohatcong, Warren",/database/pd-dept/pohatcong-warren,N/A,153%,0,5,6,http://force.nj.com/database/pd-dept/pohatcong-warren
"Point Pleasant Beach, Ocean",/database/pd-dept/point-pleasant-beach-ocean,2331%,10%,1,40,40,http://force.nj.com/database/pd-dept/point-pleasant-beach-ocean
"Point Pleasant, Ocean",/database/pd-dept/point-pleasant-ocean,N/A,N/A,1,15,16,http://force.nj.com/database/pd-dept/point-pleasant-ocean
"Pompton Lakes, Passaic",/database/pd-dept/pompton-lakes-passaic,29976%,385%,5,15,16,http://force.nj.com/database/pd-dept/pompton-lakes-passaic
"Princeton &amp; Princeton Borough (2012 only), Mercer",/database/pd-dept/princeton-mercer,493%,57%,0,17,17,http://force.nj.com/database/pd-dept/princeton-mercer
"Prospect Park, Passaic",/database/pd-dept/prospect-park-passaic,1%,162%,0,5,6,http://force.nj.com/database/pd-dept/prospect-park-passaic
"Rahway, Union",/database/pd-dept/rahway-union,23%,3%,2,21,25,http://force.nj.com/database/pd-dept/rahway-union
"Ramsey, Bergen",/database/pd-dept/ramsey-bergen,5987%,55%,1,17,17,http://force.nj.com/database/pd-dept/ramsey-bergen
"Randolph, Morris",/database/pd-dept/randolph-morris,249%,27%,1,19,19,http://force.nj.com/database/pd-dept/randolph-morris
"Raritan, Hunterdon",/database/pd-dept/raritan-hunterdon,775%,36%,0,8,8,http://force.nj.com/database/pd-dept/raritan-hunterdon
"Raritan, Somerset",/database/pd-dept/raritan-somerset,1568%,83%,0,11,11,http://force.nj.com/database/pd-dept/raritan-somerset
"Readington, Hunterdon",/database/pd-dept/readington-hunterdon,4444%,117%,0,5,5,http://force.nj.com/database/pd-dept/readington-hunterdon
"Red Bank, Monmouth",/database/pd-dept/red-bank-monmouth,174%,79%,10,21,25,http://force.nj.com/database/pd-dept/red-bank-monmouth
"Ridgefield Park, Bergen",/database/pd-dept/ridgefield-park-bergen,32%,40%,0,20,21,http://force.nj.com/database/pd-dept/ridgefield-park-bergen
"Ridgefield, Bergen",/database/pd-dept/ridgefield-bergen,N/A,N/A,0,5,5,http://force.nj.com/database/pd-dept/ridgefield-bergen
"Ridgewood, Bergen",/database/pd-dept/ridgewood-bergen,405%,35%,1,20,20,http://force.nj.com/database/pd-dept/ridgewood-bergen
"Ringwood, Passaic",/database/pd-dept/ringwood-passaic,419%,66%,0,14,14,http://force.nj.com/database/pd-dept/ringwood-passaic
"River Edge, Bergen",/database/pd-dept/river-edge-bergen,N/A,N/A,0,5,5,http://force.nj.com/database/pd-dept/river-edge-bergen
"River Vale, Bergen",/database/pd-dept/river-vale-bergen,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/river-vale-bergen
"Riverdale, Morris",/database/pd-dept/riverdale-morris,N/A,32%,0,6,6,http://force.nj.com/database/pd-dept/riverdale-morris
"Riverside, Burlington",/database/pd-dept/riverside-burlington,160%,53%,1,13,15,http://force.nj.com/database/pd-dept/riverside-burlington
"Riverton, Burlington",/database/pd-dept/riverton-burlington,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/riverton-burlington
"Robbinsville, Mercer",/database/pd-dept/robbinsville-mercer,328%,31%,0,11,11,http://force.nj.com/database/pd-dept/robbinsville-mercer
"Rochelle Park, Bergen",/database/pd-dept/rochelle-park-bergen,1975%,4%,1,8,9,http://force.nj.com/database/pd-dept/rochelle-park-bergen
"Rockaway Borough, Morris",/database/pd-dept/rockaway-borough-morris,N/A,57%,0,2,2,http://force.nj.com/database/pd-dept/rockaway-borough-morris
"Rockaway Township, Morris",/database/pd-dept/rockaway-township-morris,1077%,151%,0,10,10,http://force.nj.com/database/pd-dept/rockaway-township-morris
"Roseland, Essex",/database/pd-dept/roseland-essex,N/A,N/A,0,3,3,http://force.nj.com/database/pd-dept/roseland-essex
"Roselle Park, Union",/database/pd-dept/roselle-park-union,449%,25%,2,19,19,http://force.nj.com/database/pd-dept/roselle-park-union
"Roselle, Union",/database/pd-dept/roselle-union,46%,12%,9,35,47,http://force.nj.com/database/pd-dept/roselle-union
"Roxbury, Morris",/database/pd-dept/roxbury-morris,41%,65%,0,20,21,http://force.nj.com/database/pd-dept/roxbury-morris
"Rumson, Monmouth",/database/pd-dept/rumson-monmouth,N/A,N/A,0,1,3,http://force.nj.com/database/pd-dept/rumson-monmouth
"Runnemede, Camden",/database/pd-dept/runnemede-camden,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/runnemede-camden
"Rutherford, Bergen",/database/pd-dept/rutherford-bergen,636%,143%,0,14,14,http://force.nj.com/database/pd-dept/rutherford-bergen
"Saddle Brook, Bergen",/database/pd-dept/saddle-brook-bergen,N/A,119%,0,3,4,http://force.nj.com/database/pd-dept/saddle-brook-bergen
"Saddle River, Bergen",/database/pd-dept/saddle-river-bergen,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/saddle-river-bergen
"Salem City, Salem",/database/pd-dept/salem-city-salem,112%,Not found,3,14,15,http://force.nj.com/database/pd-dept/salem-city-salem
"Sayreville, Middlesex",/database/pd-dept/sayreville-middlesex,32%,7%,0,34,40,http://force.nj.com/database/pd-dept/sayreville-middlesex
"Scotch Plains, Union",/database/pd-dept/scotch-plains-union,276%,17%,0,13,15,http://force.nj.com/database/pd-dept/scotch-plains-union
"Sea Bright, Monmouth",/database/pd-dept/sea-bright-monmouth,275%,184%,0,7,7,http://force.nj.com/database/pd-dept/sea-bright-monmouth
"Sea Girt, Monmouth",/database/pd-dept/sea-girt-monmouth,497%,76%,0,6,9,http://force.nj.com/database/pd-dept/sea-girt-monmouth
"Sea Isle City, Cape May",/database/pd-dept/sea-isle-city-cape-may,729%,49%,0,23,24,http://force.nj.com/database/pd-dept/sea-isle-city-cape-may
"Seaside Heights, Ocean",/database/pd-dept/seaside-heights-ocean,772%,42%,4,28,46,http://force.nj.com/database/pd-dept/seaside-heights-ocean
"Seaside Park, Ocean",/database/pd-dept/seaside-park-ocean,4364%,24%,0,6,9,http://force.nj.com/database/pd-dept/seaside-park-ocean
"Secaucus, Hudson",/database/pd-dept/secaucus-hudson,305%,35%,1,41,41,http://force.nj.com/database/pd-dept/secaucus-hudson
"Ship Bottom, Ocean",/database/pd-dept/ship-bottom-ocean,N/A,N/A,0,7,8,http://force.nj.com/database/pd-dept/ship-bottom-ocean
"Shrewsbury, Monmouth",/database/pd-dept/shrewsbury-monmouth,9405%,59%,0,3,3,http://force.nj.com/database/pd-dept/shrewsbury-monmouth
"Somerdale, Camden",/database/pd-dept/somerdale-camden,210%,81%,0,6,7,http://force.nj.com/database/pd-dept/somerdale-camden
"Somers Point, Atlantic",/database/pd-dept/somers-point-atlantic,130%,10%,1,11,13,http://force.nj.com/database/pd-dept/somers-point-atlantic
"Somerville, Somerset",/database/pd-dept/somerville-somerset,207%,17%,4,24,26,http://force.nj.com/database/pd-dept/somerville-somerset
"South Amboy, Middlesex",/database/pd-dept/south-amboy-middlesex,824%,99%,0,16,18,http://force.nj.com/database/pd-dept/south-amboy-middlesex
"South Bound Brook, Somerset",/database/pd-dept/south-bound-brook-somerset,204%,12%,0,6,10,http://force.nj.com/database/pd-dept/south-bound-brook-somerset
"South Brunswick, Middlesex",/database/pd-dept/south-brunswick-middlesex,114%,19%,0,34,36,http://force.nj.com/database/pd-dept/south-brunswick-middlesex
"South Hackensack, Bergen",/database/pd-dept/south-hackensack-bergen,N/A,95%,0,2,3,http://force.nj.com/database/pd-dept/south-hackensack-bergen
"South Harrison, Gloucester",/database/pd-dept/south-harrison-gloucester,N/A,N/A,0,0,1,http://force.nj.com/database/pd-dept/south-harrison-gloucester
"South Orange, Essex",/database/pd-dept/south-orange-essex,844%,88%,0,16,18,http://force.nj.com/database/pd-dept/south-orange-essex
"South Plainfield, Middlesex",/database/pd-dept/south-plainfield-middlesex,321%,15%,0,20,22,http://force.nj.com/database/pd-dept/south-plainfield-middlesex
"South River, Middlesex",/database/pd-dept/south-river-middlesex,161%,20%,5,19,19,http://force.nj.com/database/pd-dept/south-river-middlesex
"South Toms River, Ocean",/database/pd-dept/south-toms-river-ocean,46%,10%,1,7,7,http://force.nj.com/database/pd-dept/south-toms-river-ocean
"Sparta, Sussex",/database/pd-dept/sparta-sussex,30%,14%,0,10,10,http://force.nj.com/database/pd-dept/sparta-sussex
"Spotswood, Middlesex",/database/pd-dept/spotswood-middlesex,79%,10%,1,7,8,http://force.nj.com/database/pd-dept/spotswood-middlesex
"Spring Lake Borough, Monmouth",/database/pd-dept/spring-lake-borough-monmouth,N/A,N/A,0,6,6,http://force.nj.com/database/pd-dept/spring-lake-borough-monmouth
"Spring Lake Heights, Monmouth",/database/pd-dept/spring-lake-heights-monmouth,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/spring-lake-heights-monmouth
"Springfield, Burlington",/database/pd-dept/springfield-burlington,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/springfield-burlington
"Springfield, Union",/database/pd-dept/springfield-union,467%,16%,0,10,10,http://force.nj.com/database/pd-dept/springfield-union
"Stafford, Ocean",/database/pd-dept/stafford-ocean,49%,35%,1,28,28,http://force.nj.com/database/pd-dept/stafford-ocean
"Stanhope, Sussex",/database/pd-dept/stanhope-sussex,20%,73%,1,6,6,http://force.nj.com/database/pd-dept/stanhope-sussex
"Stone Harbor Borough, Cape May",/database/pd-dept/stone-harbor-borough-cape-may,243%,58%,0,12,12,http://force.nj.com/database/pd-dept/stone-harbor-borough-cape-may
