name,relative_url,population,arrests,Los Angeles,New York City,Chicago,full_url
"Dumont, Bergen",/database/pd-dept/dumont-bergen,74%,28%,0,8,8,http://force.nj.com/database/pd-dept/dumont-bergen
"Dunellen, Middlesex",/database/pd-dept/dunellen-middlesex,10%,31%,3,15,15,http://force.nj.com/database/pd-dept/dunellen-middlesex
"East Brunswick, Middlesex",/database/pd-dept/east-brunswick-middlesex,308%,3%,2,45,45,http://force.nj.com/database/pd-dept/east-brunswick-middlesex
"East Greenwich, Gloucester",/database/pd-dept/east-greenwich-gloucester,340%,39%,0,5,6,http://force.nj.com/database/pd-dept/east-greenwich-gloucester
"East Hanover, Morris",/database/pd-dept/east-hanover-morris,N/A,54%,0,4,5,http://force.nj.com/database/pd-dept/east-hanover-morris
"East Newark, Hudson",/database/pd-dept/east-newark-hudson,N/A,N/A,0,1,2,http://force.nj.com/database/pd-dept/east-newark-hudson
"East Orange, Essex",/database/pd-dept/east-orange-essex,238%,454%,13,113,114,http://force.nj.com/database/pd-dept/east-orange-essex
"East Rutherford, Bergen",/database/pd-dept/east-rutherford-bergen,113%,39%,0,9,9,http://force.nj.com/database/pd-dept/east-rutherford-bergen
"East Windsor, Mercer",/database/pd-dept/east-windsor-mercer,125%,46%,2,17,18,http://force.nj.com/database/pd-dept/east-windsor-mercer
"Eastampton, Burlington",/database/pd-dept/eastampton-burlington,N/A,N/A,0,4,4,http://force.nj.com/database/pd-dept/eastampton-burlington
"Eatontown, Monmouth",/database/pd-dept/eatontown-monmouth,482%,2%,4,18,21,http://force.nj.com/database/pd-dept/eatontown-monmouth
"Edgewater Park, Burlington",/database/pd-dept/edgewater-park-burlington,107%,3%,0,11,11,http://force.nj.com/database/pd-dept/edgewater-park-burlington
"Edgewater, Bergen",/database/pd-dept/edgewater-bergen,4%,25%,1,14,14,http://force.nj.com/database/pd-dept/edgewater-bergen
"Edison, Middlesex",/database/pd-dept/edison-middlesex,161%,5%,6,91,93,http://force.nj.com/database/pd-dept/edison-middlesex
"Egg Harbor City, Atlantic",/database/pd-dept/egg-harbor-city-atlantic,239%,154%,0,9,12,http://force.nj.com/database/pd-dept/egg-harbor-city-atlantic
"Egg Harbor Township, Atlantic",/database/pd-dept/egg-harbor-township-atlantic,390%,34%,4,57,60,http://force.nj.com/database/pd-dept/egg-harbor-township-atlantic
"Elizabeth, Union",/database/pd-dept/elizabeth-union,76%,71%,49,155,185,http://force.nj.com/database/pd-dept/elizabeth-union
"Elk, Gloucester",/database/pd-dept/elk-gloucester,N/A,N/A,0,1,3,http://force.nj.com/database/pd-dept/elk-gloucester
"Elmwood Park, Bergen",/database/pd-dept/elmwood-park-bergen,341%,111%,0,21,21,http://force.nj.com/database/pd-dept/elmwood-park-bergen
"Emerson, Bergen",/database/pd-dept/emerson-bergen,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/emerson-bergen
"Englewood Cliffs, Bergen",/database/pd-dept/englewood-cliffs-bergen,N/A,739%,0,9,9,http://force.nj.com/database/pd-dept/englewood-cliffs-bergen
"Englewood, Bergen",/database/pd-dept/englewood-bergen,187%,28%,0,29,30,http://force.nj.com/database/pd-dept/englewood-bergen
"Englishtown, Monmouth",/database/pd-dept/englishtown-monmouth,430%,27%,0,4,4,http://force.nj.com/database/pd-dept/englishtown-monmouth
"Essex Fells, Essex",/database/pd-dept/essex-fells-essex,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/essex-fells-essex
"Evesham, Burlington",/database/pd-dept/evesham-burlington,239%,24%,14,56,56,http://force.nj.com/database/pd-dept/evesham-burlington
"Ewing, Mercer",/database/pd-dept/ewing-mercer,371%,12%,4,45,48,http://force.nj.com/database/pd-dept/ewing-mercer
"Fair Haven, Monmouth",/database/pd-dept/fair-haven-monmouth,N/A,N/A,0,6,7,http://force.nj.com/database/pd-dept/fair-haven-monmouth
"Fairfield, Essex",/database/pd-dept/fairfield-essex,N/A,57%,0,20,21,http://force.nj.com/database/pd-dept/fairfield-essex
"Fairlawn, Bergen",/database/pd-dept/fairlawn-bergen,498%,30%,0,18,19,http://force.nj.com/database/pd-dept/fairlawn-bergen
"Fairview, Bergen",/database/pd-dept/fairview-bergen,72%,42%,0,10,11,http://force.nj.com/database/pd-dept/fairview-bergen
"Fanwood, Union",/database/pd-dept/fanwood-union,390%,13%,0,5,5,http://force.nj.com/database/pd-dept/fanwood-union
"Far Hills, Somerset",/database/pd-dept/far-hills-somerset,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/far-hills-somerset
"Flemington, Hunterdon",/database/pd-dept/flemington-hunterdon,223%,2%,0,9,9,http://force.nj.com/database/pd-dept/flemington-hunterdon
"Florence, Burlington",/database/pd-dept/florence-burlington,324%,17%,0,8,9,http://force.nj.com/database/pd-dept/florence-burlington
"Florham Park, Morris",/database/pd-dept/florham-park-morris,273%,43%,0,8,8,http://force.nj.com/database/pd-dept/florham-park-morris
"Fort Lee, Bergen",/database/pd-dept/fort-lee-bergen,307%,5%,2,42,43,http://force.nj.com/database/pd-dept/fort-lee-bergen
"Franklin, Sussex",/database/pd-dept/franklin-sussex,15%,28%,0,9,9,http://force.nj.com/database/pd-dept/franklin-sussex
"Franklin Lakes, Bergen",/database/pd-dept/franklin-lakes-bergen,N/A,123%,0,6,6,http://force.nj.com/database/pd-dept/franklin-lakes-bergen
"Franklin, Gloucester",/database/pd-dept/franklin-gloucester,20%,56%,1,17,17,http://force.nj.com/database/pd-dept/franklin-gloucester
"Franklin, Somerset",/database/pd-dept/franklin-somerset,202%,9%,1,45,49,http://force.nj.com/database/pd-dept/franklin-somerset
"Freehold Borough, Monmouth",/database/pd-dept/freehold-borough-monmouth,110%,44%,1,12,17,http://force.nj.com/database/pd-dept/freehold-borough-monmouth
"Freehold Township, Monmouth",/database/pd-dept/freehold-township-monmouth,454%,89%,0,23,25,http://force.nj.com/database/pd-dept/freehold-township-monmouth
"Frenchtown, Hunterdon",/database/pd-dept/frenchtown-hunterdon,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/frenchtown-hunterdon
"Galloway, Atlantic",/database/pd-dept/galloway-atlantic,173%,19%,4,43,43,http://force.nj.com/database/pd-dept/galloway-atlantic
"Garfield, Bergen",/database/pd-dept/garfield-bergen,95%,24%,2,28,29,http://force.nj.com/database/pd-dept/garfield-bergen
"Garwood, Union",/database/pd-dept/garwood-union,N/A,92%,0,6,6,http://force.nj.com/database/pd-dept/garwood-union
"Gibbsboro, Camden",/database/pd-dept/gibbsboro-camden,N/A,1%,0,5,6,http://force.nj.com/database/pd-dept/gibbsboro-camden
"Glassboro, Gloucester",/database/pd-dept/glassboro-gloucester,354%,77%,25,40,41,http://force.nj.com/database/pd-dept/glassboro-gloucester
"Glen Ridge, Essex",/database/pd-dept/glen-ridge-essex,2498%,67%,0,8,8,http://force.nj.com/database/pd-dept/glen-ridge-essex
"Glen Rock, Bergen",/database/pd-dept/glen-rock-bergen,N/A,31%,0,11,11,http://force.nj.com/database/pd-dept/glen-rock-bergen
"Gloucester City, Camden",/database/pd-dept/gloucester-city-camden,449%,137%,4,14,18,http://force.nj.com/database/pd-dept/gloucester-city-camden
"Gloucester Township, Camden",/database/pd-dept/gloucester-township-camden,270%,25%,23,71,76,http://force.nj.com/database/pd-dept/gloucester-township-camden
"Green Brook, Somerset",/database/pd-dept/green-brook-somerset,293%,32%,1,11,11,http://force.nj.com/database/pd-dept/green-brook-somerset
"Greenwich, Gloucester",/database/pd-dept/greenwich-gloucester,501%,4%,0,8,8,http://force.nj.com/database/pd-dept/greenwich-gloucester
"Greenwich, Warren",/database/pd-dept/greenwich-warren,N/A,N/A,0,0,1,http://force.nj.com/database/pd-dept/greenwich-warren
"Guttenberg, Hudson",/database/pd-dept/guttenberg-hudson,92%,10%,1,11,12,http://force.nj.com/database/pd-dept/guttenberg-hudson
"Hackensack, Bergen",/database/pd-dept/hackensack-bergen,189%,216%,3,65,68,http://force.nj.com/database/pd-dept/hackensack-bergen
"Hackettstown, Warren",/database/pd-dept/hackettstown-warren,N/A,N/A,0,5,5,http://force.nj.com/database/pd-dept/hackettstown-warren
"Haddon Heights, Camden",/database/pd-dept/haddon-heights-camden,N/A,18%,0,2,3,http://force.nj.com/database/pd-dept/haddon-heights-camden
"Haddon &amp; Audubon Park, Camden",/database/pd-dept/haddon-camden,2052%,59%,0,10,10,http://force.nj.com/database/pd-dept/haddon-camden
"Haddonfield &amp; Tavistock, Camden",/database/pd-dept/haddonfield-camden,N/A,191%,0,3,3,http://force.nj.com/database/pd-dept/haddonfield-camden
"Haledon, Passaic",/database/pd-dept/haledon-passaic,869%,242%,5,15,15,http://force.nj.com/database/pd-dept/haledon-passaic
"Hamburg, Sussex",/database/pd-dept/hamburg-sussex,N/A,32%,0,6,6,http://force.nj.com/database/pd-dept/hamburg-sussex
"Hamilton, Atlantic",/database/pd-dept/hamilton-atlantic,100%,11%,6,29,34,http://force.nj.com/database/pd-dept/hamilton-atlantic
"Hamilton, Mercer",/database/pd-dept/hamilton-mercer,304%,23%,16,105,109,http://force.nj.com/database/pd-dept/hamilton-mercer
"Hammonton, Atlantic",/database/pd-dept/hammonton-atlantic,9%,40%,0,16,16,http://force.nj.com/database/pd-dept/hammonton-atlantic
"Hanover, Morris",/database/pd-dept/hanover-morris,4005%,38%,1,11,11,http://force.nj.com/database/pd-dept/hanover-morris
"Harding, Morris",/database/pd-dept/harding-morris,N/A,109%,0,3,3,http://force.nj.com/database/pd-dept/harding-morris
"Hardyston, Sussex",/database/pd-dept/hardyston-sussex,N/A,16%,0,2,2,http://force.nj.com/database/pd-dept/hardyston-sussex
"Harrington Park, Bergen",/database/pd-dept/harrington-park-bergen,N/A,N/A,0,0,0,http://force.nj.com/database/pd-dept/harrington-park-bergen
"Harrison, Gloucester",/database/pd-dept/harrison-gloucester,N/A,101%,0,6,7,http://force.nj.com/database/pd-dept/harrison-gloucester
"Harrison, Hudson",/database/pd-dept/harrison-hudson,23%,65%,0,21,21,http://force.nj.com/database/pd-dept/harrison-hudson
"Harvey Cedars, Ocean",/database/pd-dept/harvey-cedars-ocean,N/A,511%,0,2,2,http://force.nj.com/database/pd-dept/harvey-cedars-ocean
